,fr,ru,ru_opusmt,ru_pred
10056,Écrire ce livre m'a pris 3 ans.,На написание этой книги у меня ушло три года.,Написать эту книгу заняло три года.,Написать книгу заняло три года.
10058,Réveille-toi !,Просыпайся!,Проснись!,Очнись!
10059,"Bien qu'ils étaient pauvres, ils ont élevé sept enfants.","Несмотря на бедность, они вырастили семерых детей.","Хотя они были бедными, они воспитывали семь детей.","Хотя они были бедны, они воспитывали семь детей."
10060,Il s'habituera bientôt au climat d'ici.,Он скоро привыкнет к местному климату.,Он скоро привыкнет к климату.,Он скоро привыкнет к климату отсюда.
10062,Voici un peu d'eau.,Вот немного воды.,Вот немного воды.,Вот немного воды.
10063,Fais bouillir un peu d'eau.,Вскипяти немного воды.,Сделай немного воды.,Попробуй немного воды.
10064,Cela n'a aucun sens.,Это не имеет никакого смысла.,Это не имеет никакого смысла.,Это не имеет никакого смысла.
10065,Ma sœur est devenue une bonne pianiste.,Моя сестра стала хорошей пианисткой.,Моя сестра стала хорошим пианистом.,Моя сестра превратилась в хорошего пианиста.
10066,Le panier était rempli de fraises.,Корзина была наполнена клубникой доверху.,В корзине были покрыты свежие козырьки.,Покупала корзину.
10067,C'est la saison des fraises en ce moment.,Сейчас клубничный сезон.,В настоящее время это сезон свежих костей.,Сейчас сезон свежих костей.
10068,Nous sommes allés cueillir des fraises.,Мы пошли собирать клубнику.,Мы пошли на кухню.,Мы пошли на кухню.
10069,Ne ris pas de moi s'il te plaît.,"Не смейся надо мной, пожалуйста.","Пожалуйста, не смей меня смеяться.",Не смей меня смеяться.
10070,Un terrible destin l'attendait.,Его ждала ужасная судьба.,Ужасная судьба ждала этого.,Это было ужасное будущее.
10071,Notre destin dépend de nos décisions.,Наша судьба зависит от наших решений.,Наша судьба зависит от наших решений.,Наша судьба зависит от наших решений.
10072,Il a mon destin entre ses mains.,Моя судьба в его руках.,У него моя судьба в руках.,У него есть моя судьба в руках.
10076,Les jeunes aiment l'aventure.,Молодёжь любит приключения.,Молодые люди любят приключение.,Молодые люди любят приключение.
10077,Les vaches sont en train de manger de l'herbe.,Коровы едят траву.,Коровы едят траву.,Коровы едят траву.
10078,Je regrette d'avoir mangé ces huîtres.,Зря я съел эти устрицы.,"Мне жаль, что я съел этих устриц.","Мне жаль, что я съел этих устриц."
10079,Lavez vos mains avant de manger.,Мойте руки перед едой.,Опусти руки перед едой.,"Оставьте руки, прежде чем поесть."
10080,Bob est populaire à l'école.,Боб популярен в школе.,Боб - популярный в школе.,Боб в школе популярный.
10081,Tom joue tout le temps aux jeux vidéo.,Том всё время играет в видеоигры.,Том все время играет в видеоигры.,Том постоянно играет в видеоигры.
10082,Beethoven était un grand musicien.,Бетховен был великим музыкантом.,Бетховен был великим музыкантом.,Бетховен был большим музыкантом.
10083,J'admire ton talent.,Я восхищаюсь твоим талантом.,Я восхищаюсь твоим талантом.,Я восхищаюсь твоим талантом.
10084,Le tiroir du bureau est ouvert.,Ящик стола открыт.,Комната в офисе открыта.,В ящике открыт.
10085,Le tiroir ne veut pas s'ouvrir.,Ящик не хочет открываться.,Комната не хочет открываться.,Комната не хочет открыться.
10086,Les piles de ma calculatrice sont à plat.,В моём калькуляторе сели батарейки.,У меня калькуляторы на блюде.,Элементы моей калькулятора в плотом состоянии.
10087,Donnez-moi un autre exemple.,Приведите мне другой пример.,Дай мне еще один пример.,Дай мне еще один пример.
10088,Laissez-moi vous donner un exemple.,Позвольте мне привести вам пример.,Позвольте мне привести вам пример.,Позвольте мне привести вам пример.
10090,Elle attrape facilement un rhume.,Она легко простужается.,Она легко поймает ром.,Она легко схватила ром.
10091,Le bébé est en train de dormir.,Младенец спит.,Ребенок спит.,Ребенок спит.
10093,Est-il en train de dormir ?,Он спит?,Он спит?,Он спит?
10095,Le désespoir l'a conduit à faire une tentative de suicide.,Отчаяние привело его к попытке самоубийства.,Отчаяние побудило его совершить попытку самоубийства.,Ужасное отчаяние привело его к попытке самоубийства.
10096,Il est devenu célèbre.,Он стал знаменитым.,Он стал знаменитым.,Он стал знаменитым.
10098,Elle est soudainement devenue célèbre.,Она вдруг стала знаменитой.,Она внезапно стала знаменитой.,Она внезапно стала знаменитой.
10099,Mary se regarda dans le miroir.,Мэри посмотрелась в зеркало.,Мэри смотрела в зеркало.,Мэри смотрела в зеркало.
10100,Essaie encore.,Попробуй ещё.,Попробуй еще раз.,Попробуй еще раз.
10101,Essayons de nouveau.,Давай попробуем еще раз.,Попробуем еще раз.,Попробуем снова.
10103,La boutique ferme à 7 heures.,Магазин закрывается в семь.,Закрой магазин в 7:00.,Закрывая магазин в 7:00.
10104,Je pense à toi.,Я думаю о тебе.,Я думаю о тебе.,Я думаю о тебе.
10105,Que vas-tu faire ?,Что будешь делать?,Что ты собираешься делать?,Что ты собираешься делать?
10107,J'aime les langues.,Я люблю языки.,Мне нравятся языки.,Я люблю языки.
10108,"""Aime-t-il la musique ?"" ""Oui.""","""Он любит музыку?"" - ""Да"".","""Он любит музыку?""","Он любит музыку? ""Да."""
10109,Il avait gagné assez d'argent pour démarrer son affaire.,"Он заработал достаточно денег, чтобы начать собственное дело.","Он заработал достаточно денег, чтобы начать свое дело.","Он выиграл достаточно денег, чтобы начать свое дело."
10110,Il a laissé une immense fortune à son fils.,Он оставил своему сыну огромное состояние.,Он оставил огромное состояние своему сыну.,Он оставил огромное состояние своему сыну.
10112,Veuillez attendre votre tour.,"Подождите своей очереди, пожалуйста.",Подождите своей очереди.,"Пожалуйста, подождите свою очередь."
10113,Où travailles-tu ?,Где ты работаешь?,Где ты работаешь?,Где ты работаешь?
10114,Hiromi porte une nouvelle robe.,Хироми в новом платье.,Хироми носит новое платье.,Хироми носил новое платье.
10115,Laissons-la tranquille.,Давайте оставим её в покое.,Оставь ее в покое.,Давай оставим ее в покое.
10117,Il a tout mangé.,Он всё съел.,Он всё съел.,Он всё съел.
10118,Tu m'as presque percé l'œil avec ton crayon.,Ты мне чуть глаз не выколол своим карандашом.,Ты чуть не оглянулся на меня с карандашом.,Ты почти заглянул на меня с карандашом.
10119,Il s'habille comme un gentleman mais il parle et agit comme un clown.,"Он одевается как джентльмен, но говорит и ведёт себя как клоун.","Он одевается как джентльмен, но говорит и действует как клоун.","Он одет как джентльмен, но говорит и действует как клоун."
10120,Tu ne voudrais prendre un peu l'air ?,Не хочешь пойти подышать воздухом?,Ты не хочешь немного выглядеть?,Ты не хочешь немного выглядеть?
10121,Deux corbeaux volent dans le ciel.,В небе летают два ворона.,Двое коробок летают в небо.,Две корбески летают на небе.
10122,La population mondiale augmente en moyenne de deux pourcents par an.,Население мира увеличивается в среднем на два процента в год.,В среднем численность населения мира увеличивается на 2 процента в год.,В среднем в мире увеличивается в среднем два на 100 процентов в год.
10123,La Russie fait face à d'importantes difficultés financières.,Россия столкнулась с серьёзными финансовыми трудностями.,Россия сталкивается с серьезными финансовыми трудностями.,Россия сталкивается с серьезными финансовыми проблемами.
10124,Le courrier est arrivé.,Почта пришла.,Почта прибыла.,Комната уже пришла.
10125,Elle voulait laver les vêtements sales.,Она хотела постирать грязную одежду.,Она хотела помыть грязную одежду.,Она хотела помыть грязную одежду.
10126,J'ai déjà vu le film.,Я уже видел этот фильм.,Я уже видела фильм.,Я уже видел фильм.
10128,Il faut respecter les règles.,Надо соблюдать правила.,Мы должны соблюдать правила.,Нужно уважать правила.
10129,"Quand j'étais petit, je pouvais dormir partout.","Когда я был ребенком, я мог спать где угодно.","Когда я был маленьким, я могла спать везде.","Когда я был маленьким, я могла спать везде."
10130,Je ne pouvais pas manger de poisson quand j'étais petit.,В детстве я не мог есть рыбу.,"Я не могла есть рыбу, когда была маленькой.","Я не могла есть рыбку, когда была маленькой."
10131,C'est la maison où je vivais quand j'étais petit.,"Это дом, где я жил, когда был маленьким.","Это дом, где я жила, когда была маленькой.","Это дом, где я жила, когда была маленькой."
10132,Je me souviens l'avoir vue quelque part.,"Я помню, что где-то её видел.","Я помню, что видела ее где-то.","Помню, где-то видел её."
10133,Un enfant est en train de pleurer quelque part.,Где-то плачет ребёнок.,Ребенок плачет где-то.,"Ребенок, где-то плачет."
10134,Je suis très fatigué.,Я очень устал.,Я очень устал.,Я очень устала.
10135,Nous étions tous fatigués.,Мы все устали.,Мы все устали.,Мы все устали.
10136,Il était trop fatigué pour étudier.,"Он слишком устал, чтобы заниматься.","Он был слишком устал, чтобы учиться.","Он был слишком устал, чтобы учиться."
10137,Les nuages cachèrent le soleil.,Тучи закрыли солнце.,Облака спрятали солнце.,Облака спрятали солнце.
10138,Le ciel est couvert de nuages.,Небо затянуто облаками.,Небо покрыто облаками.,Небес прячет облака.
10139,Nous volons au-dessus des nuages.,Мы летим над облаками.,Мы летим над облаками.,Мы рыдаем над облаками.
10140,Tu bois trop de café.,Ты пьёшь слишком много кофе.,Ты пьешь слишком много кофе.,Ты пьешь слишком много кофе.
10141,"Le contrat est dans la poche, donc sortons fêter ça.","Контракт у нас в кармане, так что пойдём отпразднуем это дело.","Договор в кармане, так что давайте отпразднуем это.","Договор в кармане, так что давайте отпразднуем это."
10142,Mon père est occupé.,Мой отец занят.,Мой отец занят.,Мой отец занят.
10144,Pars quand tu veux.,Уезжай когда хочешь.,"Уходи, когда захочешь.","Иди, когда хочешь."
10146,Aide-toi et le ciel t'aidera.,"Помоги себе сам, и Бог поможет тебе.","Помоги, и небо поможет тебе.","Помогите, и небо поможет тебе."
10148,Elle n'aime pas ma manière de parler.,Ей не нравится моя манера говорить.,"Ей не нравится, как я разговариваю.",Она не любит мои разговоры.
10149,C'est secret.,Это секрет.,Это секрет.,Это секрет.
10150,Notre plan est mal parti dès le début.,Наш план не задался с самого начала.,Наш план с самого начала провалился.,Наш план не ушел с самого начала.
10151,Désirez-vous un autre verre de vin ?,Желаете ещё бокал вина?,Хотите ещё стакан вина?,Хотите ещё выпить вина?
10152,Il est professeur de biologie à Harvard.,Он - профессор биологии в Гарварде.,Он профессор биологии в Гарварде.,Он - профессор биологии в Гарварде.
10153,Il a beaucoup de livres d'Histoire.,У него много книг об истории.,У него много книг истории.,У него много книг истории.
10154,Il a dit qu'il avait faim.,"Он сказал, что голоден.","Он сказал, что голоден.","Он сказал, что голоден."
10156,Combien y a-t-il de garçons dans la classe ?,Сколько в классе мальчиков?,Сколько мальчиков в классе?,Сколько мальчиков в классе?
10157,Est-ce que ta maman sait conduire ?,Твоя мама умеет водить машину?,Твоя мама умеет вести?,Твоя мама умеет водить?
10158,Quel est le numéro de ma chambre ?,Какой номер моей комнаты?,Каков номер моей комнаты?,Какой номер моей комнаты?
10159,"Pour dire vrai, je ne l'aime pas.","Честно говоря, он мне не нравится.","По правде говоря, я не люблю его.","В самом деле, я не люблю его."
10160,Ken va partir aux États-unis fin juillet.,Кен поедет в Америку в конце июля.,Кен уезжает в штаты в конце июля.,Кен поедет в штаты в конце июля.
10161,Les bonnes habitudes doivent se cultiver pendant l'enfance.,Хорошие привычки должны воспитываться в детстве.,Хорошие привычки должны развиваться в детстве.,В детстве нужно развивать хорошие привычки.
10162,Nous l'avons rencontrée par hasard.,Мы случайно её встретили.,Мы случайно встретились с ней.,Мы случайно встретились с ней.
10163,"En ouvrant la porte, j'ai cassé la serrure.","Открывая дверь, я сломал замок.","Когда я открыл дверь, я сломал замок.","Открыв дверь, я сломал замок."
10165,Quand est-elle née ?,Когда она родилась?,Когда она родилась?,Когда она родилась?
10166,J'ai mal à l'estomac.,У меня живот болит.,У меня болит желудок.,У меня болит желудок.
10167,Le mieux est souvent l'ennemi du bien.,Лучшее - враг хорошего.,Лучший из них - враг добра.,Во многих случаях лучше всего враг добра.
10168,La réunion s'est finie à 9 heures.,Собрание закончилось в девять часов.,Встреча закончилась в 9 ч. 00 м.,Встреча закончилась в 9 ч. 00 м.
10169,Il travailla au prix de son propre temps.,Он работал в ущерб собственному времени.,Он работал по цене своего времени.,Он работал за свой собственный день.
10170,Laisse-moi essayer.,Дай я попробую.,Дай мне попробовать.,Попробуй.
10171,On ne trouve aucun tigre sauvage en Afrique.,В Африке дикие тигры не водятся.,В Африке нет диких тигров.,В Африке нет диких тигров. - Да.
10172,Bienvenue à la maison.,Добро пожаловать домой.,Добро пожаловать домой.,Добро пожаловать домой.
10173,Je plaçai toute mon attention sur le paysage dehors.,Я сосредоточил всё внимание на пейзаже за окном.,Я принёс все внимание на пейзажах снаружи.,Я все время обращаю внимание на пейзаж снаружи.
10174,Mon père va partir à l'étranger la semaine prochaine.,Мой отец собирается за границу на следующей неделе.,Мой отец уезжает за границу на следующей неделе.,Отец уйдет за границу на следующей неделе.
10175,"Tu as peut-être raison, mais je suis contre ton opinion.","Возможно, ты прав, но я с твоим мнением не согласен.","Может, ты права, но я против твоего мнения.","Может, ты права, но я против твоего мнения."
10176,Je garde toujours un dictionnaire à portée de main.,Я всегда держу словарь под рукой.,Я всегда держу словарь с рукой.,Всегда держу словарь с рукой.
10177,Ann écrivit quelque chose au tableau.,Энн что-то написала на доске.,Энн написал что-то в таблице.,Энн написала что-то в таблице.
10178,Je ne suis pas d'accord avec toi.,Я с тобой не согласна.,Я не согласен с тобой.,Я не согласен с тобой.
10181,Un brillant avenir s'offre devant lui.,Перед ним открывается блестящее будущее.,Перед ним есть светлое будущее.,Перед ним есть светлое будущее. - Да.
10182,Il fait beau aujourd'hui.,Сегодня хорошая погода.,Сегодня он прекрасен.,Сегодня он прекрасен.
10183,Peux-tu deviner ce que j'ai ?,"Угадай, что у меня есть!","Можешь угадать, что у меня есть?","Можешь угадать, что у меня есть?"
10185,Ton stylo est meilleur que le mien.,Твоя ручка лучше моей.,Твоя ручка лучше моей.,Твоя ручка лучше моей.
10186,Il n'y a pas cours en août.,В августе занятий нет.,В августе не было никаких занятий.,В августе не было никаких занятий.
10187,Bonsoir !,Добрый вечер.,Добрый вечер!,Привет!
10189,Beaucoup des ouvriers moururent de faim.,Многие рабочие умирают от голода.,Многие рабочие голодают.,Многие рабочие умирают от голода.
10190,Elle était occupée à tricoter.,Она была занята вязанием.,Она была занята сортировкой.,Она была занята сортировкой.
10191,Elle nous invita à sa fête d'anniversaire.,Она пригласила нас на свой день рождения.,Она уволила нас на день рождения.,Она уволила нас на день рождения.
10192,Tu es tout pour moi.,Ты для меня - всё.,Ты всё для меня.,Ты для меня все.
10194,Les chaussures sont faites en cuir.,Туфли сделаны из кожи.,Обувь делают кожано.,Обувь сгорела кожа.
10195,Je t'appellerai vers 5 heures.,Я тебе часов в пять позвоню.,Я позвоню тебе около пяти часов.,Я позвоню тебе около 5 часов.
10196,La capitale du Japon est Tokyo.,Столица Японии — Токио.,Столица Японии - Токио.,Столица Японии является Токио.
10197,"Garçon, je voudrais commander.","Официант, я бы хотел сделать заказ.","Мальчик, я хочу заказать.","Мальчик, я бы хотел заказать."
10198,Hier c'était mon dix-septième anniversaire.,Вчера было моё семнадцатилетие.,Вчера была моя семнадцатая годовщина.,Вчера была моя семнадцатая годовщина.
10199,Le nombre de personnes souffrant de problèmes cardiaques a augmenté.,"Количество людей, страдающих от сердечных заболеваний, увеличилось.","Число людей, страдающих сердечно-сосудистыми расстройствами, увеличилось.",Увеличилось число людей с психическими расстройствами.
10200,Je veux aller à Seattle.,Я хочу поехать в Сиэтл.,Я хочу поехать в Сиэтл.,Я хочу пойти в Сиэтл.
10201,Il vient d'Angleterre.,Он из Англии.,Он из Англии.,Он из Англии.
10202,Puis-je utiliser ton dictionnaire ?,Могу я воспользоваться твоим словарём?,Могу я использовать твой словарь?,Могу я воспользоваться твоим словарьом?
10203,J'ai eu le même problème que toi.,"У меня была та же проблема, что и у тебя.","У меня такая же проблема, как и у тебя.","У меня была такая же проблема, как и у тебя."
10204,Nous calculâmes que nous pouvions atteindre l'endroit en deux semaines.,"Мы подсчитали, что можем добраться до этого места за две недели.","Мы думали, что мы можем добраться до этого места за две недели.","Мы считали, что мы можем добраться до этого места за две недели."
10205,La musique est une langue commune pour l'humanité.,Музыка - общий язык для всего человечества.,Музыка - это общий язык для человечества.,Музыка - общий язык для человечества.
10206,Je suis enceinte.,Я беременна.,Я беременна.,Я беременна.
10207,Ils vivent en paix.,Они живут в мире.,Они живут в мире.,Они живут в мире.
10208,Elle est aussi intelligente qu'elle est belle.,"Она не только красива, но и умна.","Она такая же умная, как она красивая.","Она умна, как она красивая. - Да."
10209,Comment ose-t-il ouvrir mon courrier !,Как он смеет вскрывать мою почту!,Как он смеет открыть мою почту!,Как он смеется открыть мой почтовый ящик!
10210,Notre classe compte 41 élèves.,В нашем классе сорок один ученик.,В нашем классе 41 ученик.,Наш класс насчитывает 41 ученик.
10212,Mon père n'aime pas le foot.,Отец не любит футбол.,Мой отец не любит футбол.,Отец не любит футбол.
10213,Puis-je utiliser votre crayon ?,Можно воспользоваться Вашим карандашом?,Могу я использовать ваш карандаш?,Могу я воспользоваться вашим карандашом?
10215,Viendras-tu me chercher demain matin à sept heures ?,Заедешь за мной завтра утром в семь?,Ты собираешься забрать меня завтра утром в семь часов?,Ты собираешься завтра утром забрать меня в семь часов?
10217,Les feuilles tombent en automne.,Листья опадают осенью.,Листьи падают осенью.,Листья падает осенью.
10218,Il ronflait bruyamment pendant son sommeil.,Он громко храпел во сне.,Во время его сна он храпел.,Он храпел во время сна.
10219,"J'écoutai, mais je n'entendis rien.","Я слушал, но ничего не услышал.","Я слушаю, но я ничего не слышу.","Я послушаю, но не слышал."
10220,Il a plus d'argent qu'on ne peut en dépenser.,"У него больше денег, чем можно потратить.","У него больше денег, чем мы можем потратить.","У него больше денег, чем мы можем его потратить."
10221,Je me levai pendant qu'il faisait encore noir.,"Я встал, когда было еще темно.","Я устал, пока он все еще черный.","Я устал, пока он ещё черный."
10222,Tu m'entends ?,Ты слышишь меня?,Ты меня слышишь?,Слышишь меня?
10223,Elle adore jouer au tennis.,Она обожает играть в теннис.,Она любит играть в теннис.,Она любит играть в теннис.
10224,Il a agi sagement.,Он поступил мудро.,Он действовал мудро.,Он действовал мудро.
10225,L'homme que tu as vu hier est mon oncle.,"Мужчина, которого ты вчера видел, - мой дядя.","Человек, которого ты видел вчера, мой дядя.","Человек, которого ты вчера видел, мой дядя."
10226,C'est l'aide dont nous avons besoin.,"Что нам нужно, так это помощь.",Нам нужна помощь.,Нам нужна помощь.
10227,C'est l'ordinateur sur lequel il écrit son article.,"Это компьютер, на котором он пишет свои статьи.","Это компьютер, на котором он пишет свою статью.","Это компьютер, на котором он пишет свою статью."
10228,Il travaille pour un grand journal dont le tirage est très élevé.,Он работает в крупной газете с очень большим тиражом.,Он работает на большую газету с очень высоким тиражом.,"Он работает в большом журнале, который очень высок."
10229,J'ai deux livres en anglais.,У меня есть 2 английские книги.,У меня две книги на английском языке.,У меня два книги на английском языке.
10230,Combien de livres possèdes-tu ?,Сколько у тебя книг?,Сколько книг у тебя есть?,Сколько книг у тебя есть?
10231,Il y a douze mois dans une année.,В году двенадцать месяцев.,12 месяцев назад в год.,12 месяцев назад в год.
10232,Je ne travaille pas.,Я не работаю.,Я не работаю.,Я не работаю.
10233,Mon ami a dix-sept ans.,Моему другу семнадцать лет.,Моему другу 17 лет.,Мой друг 17 лет.
10235,Le président refusa de répondre à la question.,Президент отказался отвечать на вопрос.,Президент отказался ответить на этот вопрос.,Председатель отказался ответить на этот вопрос.
10236,Arrête de fumer si tu veux vivre longtemps.,"Бросай курить, если хочешь жить долго.","Хватит курить, если хочешь жить долго.","Прекрати курить, если хочешь жить долго."
10237,Je ne serai pas chez moi dimanche prochain.,В следующее воскресенье меня не будет дома.,Я не буду дома в следующее воскресенье.,Я не буду дома в следующее воскресенье.
10238,"D'accord, mais dînons d'abord.","Хорошо, но сначала давай поужинаем.","Ладно, но сначала поужинаем.","Ладно, но сначала пообедаем."
10241,Es-tu occupé aujourd'hui ?,Ты сегодня занят?,Ты сегодня занят?,Ты занят сегодня?
10242,"Que ferais-tu, si tu avais un million de dollars ?","Что бы ты сделал, если бы у тебя был миллион долларов?","Что бы ты сделал, если бы у тебя было миллион долларов?","Что бы ты сделал, если бы у тебя было миллион долларов?"
10243,Un vrai gentleman ne trahit pas ses amis.,Настоящий джентльмен не предаёт своих друзей.,Настоящий джентльмен не предает своих друзей.,Настоящий джентльмен не предает своих друзей. - Да.
10245,Le conflit entre les blancs et les noirs dans la ville s'empira.,Конфликт между чёрными и белыми в городе усугубился.,Конфликт между белыми и чернокожими в городе будет замедлен.,Разрыв между белыми и черными в городе будет разрушаться.
10246,J'ai la gorge sèche.,У меня пересохло в горле.,У меня сухое горло.,У меня сухой горло.
10247,Je travaille.,Я работаю.,Я работаю.,Я работаю.
10248,Je n'aime pas travailler à la banque.,Мне не нравится работать в банке.,Мне не нравится работать в банке.,Я не люблю работать в банке.
10249,Où est sa famille ?,Где его семья?,Где его семья?,Где его семья?
10251,Mon professeur de chinois est un homme.,Мой преподаватель китайского — мужчина.,Мой учитель из Китая - мужчина.,Мой учитель из Китая - мужчина.
10252,Il travaille actuellement en Angleterre.,Сейчас он работает в Англии.,В настоящее время он работает в Англии.,Он работает в Англии.
10253,Maria dépense beaucoup d'argent en vêtements.,Мэри тратит много денег на одежду.,Мария тратит много денег на одежду.,Мэри много тратит на одежду.
10254,Je vais plus souvent à Bruxelles qu'à Paris.,"Я чаще бываю в Брюсселе, чем в Париже.","Я чаще еду в Брюссель, чем в Париж.","Я чаще поеду в Брюссель, чем в Париже."
10255,Tom parle plus lentement que Bill.,"Том говорит медленнее, чем Билл.",Том говорит медленнее Билла.,Том говорит медленнее Билла.
10256,Cette soupe est trop salée.,Этот суп слишком солёный.,Этот суп слишком сломан.,Эта суп слишком солёнка.
10258,Sam est plus jeune que Tom de deux ans.,Сэм на два года младше Тома.,Сэм моложе двухлетнего Тома.,Сэм моложе двухлетнего Тома.
10260,Il était debout au coin de la rue.,Он стоял на углу улицы.,Он стоял в углу улицы.,Он стоял на углу улицы.
10261,"""Où es-tu allé ?"" ""Je suis allé à la gare saluer le départ d'un ami.""","""Где ты был?"" - ""Ездил на вокзал провожать друга"".","""Куда ты пошёл?"" ""Я пошел на станцию поздороваться с отъездом друга.""","""Где ты был?"" ""Я поехал на станцию, чтобы поприветствовать уехавшего друга."""
10262,Il aime beaucoup le baseball.,Он очень любит бейсбол.,Он очень любит бейсбол.,Он очень любит бейсбол.
